symbol,side,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,rr,score,exit_reason,pnl_r,pnl_pct,fees_pct
BTC/USDT,SHORT,2024-05-22 05:22:00+00:00,2024-05-22 05:30:00+00:00,230573.4811029952,231436.391647725,231390.113625,229078.587824,228308.079224,3.0,58,SL,-1.3955,-0.4942,0.12
BTC/USDT,SHORT,2024-05-22 06:31:00+00:00,2024-05-22 06:36:00+00:00,231185.89441283178,232206.7647455358,232160.332679,229375.757163,228447.565325,3.0,55,SL,-1.3324,-0.5616,0.12
BTC/USDT,SHORT,2024-05-22 20:27:00+00:00,2024-05-22 20:29:00+00:00,227835.93983177302,228790.78095438957,228745.031948,226154.484508,225290.968694,3.0,60,SL,-1.3511,-0.5391,0.12
BTC/USDT,SHORT,2024-05-22 20:31:00+00:00,2024-05-22 20:40:00+00:00,227835.93983177302,228790.78095438957,228745.031948,226154.484508,225290.968694,3.0,57,SL,-1.3511,-0.5391,0.12
BTC/USDT,LONG,2024-05-23 18:23:00+00:00,2024-05-23 19:45:00+00:00,207157.03589755498,206220.58073637943,206261.833103,208823.172119,209676.951791,3.0,63,SL,-1.3238,-0.5721,0.12
BTC/USDT,SHORT,2024-05-24 02:11:00+00:00,2024-05-24 02:12:00+00:00,206524.6759381728,207375.8272030662,207334.360331,205029.246748,204260.875554,3.0,58,SL,-1.3573,-0.5321,0.12
BTC/USDT,SHORT,2024-05-24 02:14:00+00:00,2024-05-24 02:15:00+00:00,206524.6759381728,207375.8272030662,207334.360331,205029.246748,204260.875554,3.0,64,SL,-1.3573,-0.5321,0.12
BTC/USDT,SHORT,2024-05-24 02:19:00+00:00,2024-05-24 02:24:00+00:00,206524.6759381728,207375.8272030662,207334.360331,205029.246748,204260.875554,3.0,74,SL,-1.3573,-0.5321,0.12
ETH/USDT,SHORT,2024-05-09 09:48:00+00:00,2024-05-09 10:01:00+00:00,17902.5236550248,17737.9383863016,17963.342665,17791.629298,17734.391508,3.0,68,TP2,2.3529,0.7993,0.12
ETH/USDT,LONG,2024-05-11 14:42:00+00:00,2024-05-11 14:48:00+00:00,21154.171406283596,21059.595113425,21063.807875,21322.208505,21408.342048,3.0,62,SL,-1.3275,-0.5671,0.12
ETH/USDT,SHORT,2024-05-12 09:03:00+00:00,2024-05-12 09:27:00+00:00,24781.5166032204,24877.1448310794,24872.170397,24615.080901,24529.384402,3.0,55,SL,-1.3829,-0.5059,0.12
ETH/USDT,LONG,2024-05-28 08:04:00+00:00,2024-05-28 08:05:00+00:00,6213.8371109184,6188.008930644,6189.24678,6259.290217,6282.638029,3.0,64,SL,-1.3536,-0.5357,0.12
SOL/USDT,LONG,2024-05-09 08:36:00+00:00,2024-05-09 09:34:00+00:00,1013.4942043092,1009.8408844214001,1010.042893,1019.788853,1023.037507,3.0,57,SL,-1.4109,-0.4805,0.12
SOL/USDT,SHORT,2024-05-14 20:20:00+00:00,2024-05-14 20:21:00+00:00,2640.6497004128,2650.5245779158,2649.994579,2623.54465,2614.728007,3.0,59,SL,-1.3958,-0.494,0.12
SOL/USDT,SHORT,2024-05-15 18:48:00+00:00,2024-05-15 19:10:00+00:00,3371.4190433076,3382.8096606468,3382.133234,3352.013917,3341.974145,3.0,56,SL,-1.4407,-0.4579,0.12
